dem;Der Handwerker, ___ wir den Wohnungsschlüssel anvertraut haben, ist sehr zuverlässig.;Мастер, которому мы доверили ключ от квартиры, очень надежен.;den;der;dessen
der;Die Nachbarin, ___ ich gestern beim Tragen der Kisten geholfen habe, wohnt im dritten Stock.;Соседка, которой я вчера помог нести коробки, живет на третьем этаже.;die;den;deren
dessen;Der Hauseigentümer, ___ Telefonnummer ich verlegt habe, meldet sich heute Nachmittag.;Владелец дома, номер телефона которого я переложил и потерял, выйдет на связь сегодня днем.;dem;den;deren
deren;Die Familie, ___ Wohnung gerade renoviert wird, wohnt vorübergehend im Hotel.;Семья, квартира которой сейчас ремонтируется, временно живет в отеле.;dessen;der;denen
denen;Die Kollegen, ___ wir die ausführlichen Berichte geschickt haben, sind im Urlaub.;Коллеги, которым мы отправили подробные отчеты, находятся в отпуске.;die;den;deren
mit dem;Das Werkzeug, ___ der Mechaniker die Schraube gelöst hat, liegt noch auf der Werkbank.;Инструмент, с помощью которого механик открутил болт, все еще лежит на верстаке.;mit das;für das;bei dem
über die;Die Baustelle, ___ sich viele Anwohner seit Wochen beschweren, wird bald geräumt.;Стройка, на которую многие жители жалуются неделями, скоро будет убрана.;über der;für die;an die
bei denen;Es gibt viele Situationen, ___ man unbedingt Ruhe bewahren sollte.;Есть много ситуаций, при которых следует обязательно сохранять спокойствие.;bei die;bei der;bei dessen
dem;Der alte Herr, ___ die Gemeinde gestern zum Geburtstag gratuliert hat, ist bei bester Gesundheit.;Пожилой господин, которого община вчера поздравила с днем рождения, в добром здравии.;den;dessen;der
der;Die Kollegin, ___ dieser moderne Schreibtisch gehört, arbeitet heute im Homeoffice.;Коллега, которой принадлежит этот современный письменный стол, работает сегодня удаленно.;die;den;deren
dessen;Das Gebäude, ___ Fassade frisch gestrichen wurde, beherbergt eine Arztpraxis.;Здание, фасад которого свежеокрашен, вмещает врачебную приемную.;deren;dem;das
deren;Die Mieter, ___ Fahrräder im Treppenhaus standen, wurden schriftlich verwarnt.;Жильцы, чьи велосипеды стояли в подъезде, получили письменное предупреждение.;dessen;denen;die
denen;Die Kursteilnehmer, ___ der Dozent die Zertifikate überreichte, waren erleichtert.;Участники курса, которым преподаватель вручил сертификаты, почувствовали облегчение.;die;den;deren
auf den;Der Regionalexpress, ___ die Reisenden am Bahnsteig warten, hat zehn Minuten Verspätung.;Региональный экспресс, которого путешественники ждут на перроне, задерживается на десять минут.;auf dem;auf der;für den
für die;Die Bescheinigung, ___ wir so lange beim Amt anstehen mussten, ist endlich da.;Справка, ради которой нам пришлось так долго стоять в очереди в ведомстве, наконец получена.;für der;über die;in die
in dem;Das historische Gebäude, ___ sich die Stadtbibliothek befindet, ist denkmalgeschützt.;Историческое здание, в котором находится городская библиотека, находится под охраной памятников.;in das;in den;an dem
dem;Der Polizist, ___ der Autofahrer den Vorfall schilderte, machte sich sofort Notizen.;Полицейский, которому водитель описал происшествие, сразу сделал записи.;den;dessen;der
der;Die Verkäuferin, ___ wir die beschädigte Ware zurückgegeben haben, war sehr verständnisvoll.;Продавец, которой мы вернули поврежденный товар, отнеслась с большим пониманием.;die;dessen;den
dessen;Der Patient, ___ Krankengeschichte sehr komplex ist, bleibt noch zwei Tage im Krankenhaus.;Пациент, история болезни которого очень сложна, остается еще на два дня в больнице.;deren;dem;den
deren;Die Frau, ___ Koffer am Flughafen versehentlich vertauscht wurde, wartet am Schalter.;Женщина, чей чемодан в аэропорту случайно перепутали, ждет у стойки.;dessen;der;denen
denen;Die Kinder, ___ die Betreuerin eine spannende Geschichte vorlas, hörten aufmerksam zu.;Дети, которым воспитательница читала увлекательную историю, слушали внимательно.;die;den;deren
an dem;Der Schreibtisch, ___ ich jeden Werktag viele Stunden arbeite, ist höhenverstellbar.;Письменный стол, за которым я работаю по много часов каждый будний день, регулируется по высоте.;an den;auf dem;in dem
über das;Das neue Gesetz, ___ im Parlament lange debattiert wurde, tritt nächsten Monat in Kraft.;Новый закон, о котором долго дискутировали в парламенте, вступает в силу в следующем месяце.;über dem;für das;an das
zu denen;Es gibt einige Kollegen, ___ man sofort ein uneingeschränktes Vertrauensverhältnis aufbaut.;Есть некоторые коллеги, к которым сразу выстраивается безоговорочное доверие.;zu die;zu der;zu dessen
dem;Der Nachbar, ___ ich das Paket übergeben habe, wohnt schräg gegenüber im zweiten Stock.;Сосед, которому я передал посылку, живет наискосок напротив на втором этаже.;den;dessen;der
der;Die Beamtin, ___ die Antragstellerin die Unterlagen vorgelegt hatte, prüfte die Angaben zügig.;Чиновница, которой заявительница предоставила документы, быстро проверила данные.;die;den;deren
dessen;Der Bus, ___ Motor während der Fahrt plötzlich ausging, musste abgeschleppt werden.;Автобус, мотор которого внезапно заглох во время движения, пришлось эвакуировать.;deren;dem;den
deren;Die Nachbarn, ___ Garten direkt an unseren Hof grenzt, pflegen viele bunte Blumen.;Соседи, чей сад прямо граничит с нашим двором, ухаживают за множеством ярких цветов.;dessen;denen;die
denen;Die Fahrgäste, ___ der Anschlusszug vor der Nase weggefahren ist, beschweren sich am Schalter.;Пассажиры, у которых стыковочный поезд ушел прямо из-под носа, жалуются у стойки.;die;den;deren
vor dem;Das rote Backsteinhaus, ___ der große Lieferwagen parkt, gehört einer Stiftung.;Красный кирпичный дом, перед которым припаркован большой фургон доставки, принадлежит фонду.;vor den;vor das;bei dem
mit der;Die Kollegin, ___ ich das gestrige Kundentelefonat geführt habe, ist heute nicht im Haus.;Коллега, с которой я вел вчерашний звонок с клиентом, сегодня отсутствует на работе.;mit die;für die;an der
unter denen;Es gibt mehrere Vorschläge, ___ die Kommission nun den besten auswählen muss.;Есть несколько предложений, среди которых комиссия теперь должна выбрать наилучшее.;unter die;unter der;unter dessen
dem;Der Vermieter, ___ wir den Wasserschaden gemeldet haben, schickt sofort einen Handwerker.;Арендодатель, которому мы сообщили о повреждении водой, сразу отправляет мастера.;den;dessen;der
der;Die Ärztin, ___ der Patient seine Symptome schilderte, verschrieb sofort die passenden Tropfen.;Врач, которой пациент описал свои симптомы, сразу выписала подходящие капли.;die;dessen;den
dessen;Ein Dokument, ___ Gültigkeit abgelaufen ist, kann bei der Behörde nicht akzeptiert werden.;Документ, срок действия которого истек, не может быть принят ведомством.;deren;dem;das
deren;Die Eigentümerin, ___ Zustimmung für den Umbau fehlte, hat den Vertrag endlich unterschrieben.;Собственница, чье согласие на перепланировку отсутствовало, наконец подписала договор.;dessen;der;denen
denen;Denjenigen Bürgern, ___ die neuen Bescheide zugestellt wurden, steht ein Einspruchsrecht zu.;Тем гражданам, которым были вручены новые решения, полагается право на подачу возражения.;die;den;deren
an die;Die Wand, ___ das große Bücherregal montiert werden soll, muss vorher geprüft werden.;Стена, на которую должен монтироваться большой книжный стеллаж, должна быть предварительно проверена.;an der;auf die;in die
nach denen;Die Kriterien, ___ die Wohnungsbewerber ausgewählt werden, sind transparent.;Критерии, по которым выбираются кандидаты на жилье, прозрачны.;nach die;nach der;nach dessen
mit denen;Die Nachbarn, ___ wir das Treppenhaus gemeinsam reinigen, sind sehr pünktlich.;Соседи, с которыми мы совместно убираем лестничную клетку, очень пунктуальны.;mit die;mit der;mit deren
